card_number,card_deck,name,card_type,battle_modifier,price,hands,Armour,feet,head,class_limit,race_limit,gender_limit,special_use,big,roll_modifier,card_description
22,treasure,Whine At The GM,GUAL,1,Not sold,0,,,,{},{},{},{Level:1},Small,0,Shout it out!
23,treasure,Friendship Potion,Item,0,200,0,,,,{},{},{},{Fight:End,Room:Loot},Small,0,Lets be friends
24,treasure,Steal A Level,GUAL,1,Not sold,0,,,,{},{},{},{Level:1,Player:Choose,Level:-1},Small,0,What is yours is now mine
25,treasure,Convenient Addition Error,GUAL,1,Not sold,0,,,,{},{},{},{Level:1},Small,0,Boom! That just happened
26,treasure,Bad-Ass Bandana,Armour,3,400,0,,,1,{},{'Human':True},{},{},Small,0,Just because I can
27,treasure,Shield of Ubiquity,Weapon,4,600,1,,,,{'Wizard':True},{},{},{},Big,0,Like everywhere
28,treasure,Invoke Obscure Rules,GUAL,1,Not sold,0,,,,{},{},{},{Level:1},Small,0,I make the rules!
29,treasure,Magic Lamp,Item,0,500,0,,,,{},{},{},{Fight:End, Treasure:Monster.treasure},Small,0,Genie come out!
30,treasure,Leather Armour,Armour,1,200,0,1,,,{},{},{},{},Small,0,Because it's leather
31,treasure,Eleven-Foot Pole,Weapon,1,200,2,,,,{},{},{},{},Small,0,Big Stick
32,treasure,Buckler Of Swashing,Weapon,2,400,1,,,,{},{},{},{},Small,0,Splash
33,treasure,Wishing Ring 2,Item,0,500,0,,,,{},{},{},{Curse:Cancel},Small,0,Curse B-gone
34,treasure,Sleep Potion,Item,2,100,0,,,,{},{},{},{Sides:Both},Small,0,ZzZzZzZ
35,treasure,Singing & Dancing Sword,Item,2,400,0,,,,{'Thief':False},{},{},{},Small,0,Tra lala lala
36,treasure,Mutilate The Bodies,GUAL,1,Not sold,0,,,,{},{},{},{Level:1,Fight:After},Small,0,First Blood!
37,treasure,Swiss Army Polearm,Weapon,4,600,2,,,,{},{'Human':True},{},{},Big,0,It is long and sharp
38,treasure,Helm Of Courage,Headgear,1,200,0,,,1,{},{},{},{},Small,0,I feel brave
39,treasure,Horny Helmet,Headgear,1,600,0,,,1,{},{},{},{'Elf':2},Small,0,VERY horny
40,treasure,Flaming Poison Potion,Item,3,100,0,,,,{},{},{},{Sides:Both},Small,0,Don't drink
41,treasure,Magic Missle,Item,5,300,0,,,,{},{},{},{Sides:Both},Small,0,Get down!
42,treasure,Doppelganger,Item,0,300,0,,,,{},{},{},{Battle Modifer:Player.power, Help:False},Small,0,Me 2
43,treasure,Broad Sword,Weapon,3,400,1,,,,{},{},{'Female':True},{},Small,0,Heavy but sharp
44,treasure,Pantyhose Of Giant Strength,Armour,3,600,0,,,,{'Warrior':False},{},{},{},Small,0,I feel powerful!
45,treasure,Boots Of Running Really Fast,Armour,0,400,0,,1,,{},{},{},{},Small,2,Speed up!
46,treasure,Hammer Of Kneecapping,Weapon,4,600,1,,,,{'Dwarf':True},{},{},{},Small,0,Auch!
47,treasure,Electric Radioactive Acid Potion,Item,5,200,0,,,,{},{},{},{Sides:Both},Small,0,Don't drink
48,treasure,Pointy Hat Of Power,Headgear,3,400,0,,,1,{'Wizard':True},{},{},{},Small,0,Very pointy
49,treasure,Mace Of Sharpness,Weapon,4,600,1,,,,{'Cleric':True},{},{},{},Small,0,What's the point?
50,treasure,Gentlemen's Club,Weapon,3,400,1,,,,{},{},{'Male':True},{},Small,0,Not for ladies
51,treasure,Potion Of General Studliness,GUAL,1,Not sold,0,,,,{},{},{},{Level:1},Small,0,Don't drink
52,treasure,Huge Rock,Weapon,3,0,2,,,,{},{},{},{},Big,0,Hits hard - very hard
53,treasure,Sandals Of Protection,Footgear,0,700,0,,1,,{},{},{},{Drawn Curse:False},Small,0,Good comfort for your feet
54,treasure,Spiky Knees,,1,200,0,,,,{},{},{},{},Small,0,Do not wear them inside out
55,treasure,Chainsaw Of Bloody Dismemberment,Weapon,3,600,2,,,,{},{},{},{},Big,0,Great for slicing meat
56,treasure,Mithril Armour,Armour,3,600,0,1,,,{'Wizard':False},{},{},{},Big,0,Shiny!
57,treasure,Nasty Tasting Sports Drink,Item,2,200,0,,,,{},{},{},{Sides:Both},Small,0,Good and aweful at the same time
58,treasure,Potion Of Halitosis,Item,2,100,0,,,,{},{},{},{Sides:Both, Flying Nose:Kill},Small,0,Like garlic but worse
59,treasure,Flask Of Glue,Item,0,100,0,,,,{},{},{},{Roll:Again,Roll:After},Small,0,Warning! Sticky
60,treasure,Potion Of Idiotic Bravery,Item,2,100,0,,,,{},{},{},{Sides:Both},Small,0,Makes you more idiotic than Brave
61,treasure,Invisibility Potion,Item,0,200,0,,,,{},{},{},{Roll:True},Small,0,Where is it?
62,treasure,Dagger Of Treachery,Weapon,3,400,1,,,,{'Thief':True},{},{},{},Small,0,Do not turn your back to it
63,treasure,Limburger And Anchovy Sandwich,Weapon,3,400,0,,,,{},{'Halfling':True},{},{},Small,0,Eew
64,treasure,Pretty Balloons,Item,5,0,0,,,,{},{},{},{Sides:Both},Small,0,Pretty
65,treasure,Yuppie Water,Item,0,100,0,,,,{},{'Elf':True},{},{Elf:2},Small,0,Yuppie
66,treasure,Rapier Of Unfairness,Weapon,3,600,1,,,,{},{'Elf':True},{},{},Small,0,It is just not fair
67,treasure,Tuba Of Charm,Weapon,0,300,1,,,,{},{},{},{Treasure:1},Big,3,Charming honk
68,treasure,Cloak Of Obscurity,Armour,4,600,0,,,,{'Thief':True},{},{},{},Small,0,Confusing
69,treasure,Stepladder,Weapon,3,400,0,,,,{},{'Halfling':True},{},{},Big,0,For small people or dwarfs
70,treasure,Kneepads Of Allure,Item,0,600,0,,,,{'Cleric':False},{},{},{Help:Higher Player},Small,0,Tempting
71,treasure,Short Wide Armour,Armour,3,400,0,1,,,{},{'Dwarf':True},{},{},Small,0,Dwarf made for sure
72,treasure,Slimy Armour,Armour,1,200,0,1,,,{},{},{},{},Small,0,Eew
73,treasure,Loaded Die,Item,0,300,0,,,,{},{},{},{Roll:True},Small,0,Almost not cheating
